"Gene.symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"STMN1"	-2.14921581838887	2.92183511415839	-12.0955985388027	2.73901274348865e-09	8.84934752442558e-08	11.71760601175
"RP5-966M1.6"	2.14259149412337	4.57553887672986	13.5400431351704	5.51956319706284e-10	2.37341217473702e-08	13.1024799539756
"VAMP5"	2.14222608616131	3.21925921151165	11.1332846930591	8.7113921255691e-09	2.31462988984151e-07	10.4716205835796
"PSMB9"	2.13857849072875	5.24233926182636	22.4324705891807	3.25665017116113e-13	5.97679240690829e-11	20.6643124674958
"DDX60L"	2.12554097276162	8.16744269288462	26.7823006189185	2.24446522814497e-14	6.24312031116199e-12	23.2602305563621
"TRAF1"	2.12451911071446	5.72460722270471	21.9101380431052	4.63879716566804e-13	7.94037184069447e-11	20.2730957550457
"HSD11B1"	2.11427038356308	2.78256486009142	13.2947720316777	7.16943829420426e-10	2.93403081640056e-08	13.0385188915436
"HIST2H2AA3"	2.1034916141735	3.31030621082694	18.6317583801594	5.21243940325301e-12	5.52332418194703e-10	17.9171869372117
"TAP2"	2.10294999763276	4.61795524890645	20.3508866778371	1.40086063172442e-12	1.96363157212268e-10	19.2203278124527
"IL23A"	2.10018811373334	1.14983080796918	12.5697333922244	1.59190714821761e-09	5.70203844116093e-08	12.1640349689457
"XXBAC-BPG246D15.9"	2.09930323511751	4.75718654611637	21.2678420378365	7.24637544876388e-13	1.18348601595316e-10	19.8793588959284
"SEMA4A"	2.08408454030865	3.59385169727354	18.7769318028149	4.64525371782155e-12	4.99532009634032e-10	18.0428482551194
"NFIX"	2.07831226437277	1.44055872414056	10.2170541736121	2.82847588465943e-08	6.20105020920039e-07	9.41945339869165
"IGF2BP3"	2.07047805403242	3.18395912439104	10.4203800160944	2.16311326201815e-08	4.84374116860971e-07	9.54513034778452
"RUNX2"	2.06498149986043	2.59465837890143	12.0796384002274	2.79035160889261e-09	8.99603678308047e-08	11.6881993548071
"ODF3B"	2.06229700471482	4.99559396067143	32.4745764838362	1.19850257517238e-15	6.4653766191572e-13	26.2165352067632
